COD_Ateneo,NomeOperativo,Regione,Statale/Non statale,Telematica/Non telematica
00101,Torino,Piemonte,Statale,Non telematica
00102,Torino Politecnico,Piemonte,Statale,Non telematica
00201,Piemonte Orientale,Piemonte,Statale,Non telematica
00401,Bra - Scienze Gastronomiche,Piemonte,Non statale,Non telematica
00701,Aosta,Valle d'Aosta,Non statale,Non telematica
01001,Genova,Liguria,Statale,Non telematica
01201,Castellanza LIUC,Lombardia,Non statale,Non telematica
01202,Insubria,Lombardia,Statale,Non telematica
01301,Novedrate e-Campus,Lombardia,Non statale,Telematica
01501,Milano,Lombardia,Statale,Non telematica
01502,Milano Politecnico,Lombardia,Statale,Non telematica
01503,Milano Bocconi,Lombardia,Non statale,Non telematica
01504,Milano Cattolica,Lombardia,Non statale,Non telematica
01505,Milano IULM,Lombardia,Non statale,Non telematica
01508,Milano San Raffaele,Lombardia,Non statale,Non telematica
01509,Milano Bicocca,Lombardia,Statale,Non telematica
01510,Rozzano (MI) Humanitas University,Lombardia,Non statale,Non telematica
01601,Bergamo,Lombardia,Statale,Non telematica
01701,Brescia,Lombardia,Statale,Non telematica
01801,Pavia,Lombardia,Statale,Non telematica
01802,Pavia IUSS,Lombardia,Statale,Non telematica
02101,Bolzano,Trentino-Alto Adige,Non statale,Non telematica
02201,Trento,Trentino-Alto Adige,Statale,Non telematica
02301,Verona,Veneto,Statale,Non telematica
02701,Venezia CÃ  Foscari,Veneto,Statale,Non telematica
02702,Venezia Iuav,Veneto,Statale,Non telematica
02801,Padova,Veneto,Statale,Non telematica
03001,Udine,Friuli-Venezia Giulia,Statale,Non telematica
03201,Trieste,Friuli-Venezia Giulia,Statale,Non telematica
03202,Trieste SISSA,Friuli-Venezia Giulia,Statale,Non telematica
03401,Parma,Emilia-Romagna,Statale,Non telematica
03601,Modena e Reggio Emilia,Emilia-Romagna,Statale,Non telematica
03701,Bologna,Emilia-Romagna,Statale,Non telematica
03801,Ferrara,Emilia-Romagna,Statale,Non telematica
04101,Urbino Carlo Bo,Marche,Statale,Non telematica
04201,Marche,Marche,Statale,Non telematica
04301,Macerata,Marche,Statale,Non telematica
04302,Camerino,Marche,Statale,Non telematica
04601,Lucca - IMT,Toscana,Statale,Non telematica
04801,Firenze,Toscana,Statale,Non telematica
04803,Firenze - Istituto Italiano di Scienze Umane,Toscana,Statale,Non telematica
04804,Firenze IUL,Toscana,Non statale,Telematica
05001,Pisa,Toscana,Statale,Non telematica
05002,Pisa Normale,Toscana,Statale,Non telematica
05003,Pisa S.Anna,Toscana,Statale,Non telematica
05201,Siena,Toscana,Statale,Non telematica
05202,Siena Stranieri,Toscana,Statale,Non telematica
05401,Perugia,Umbria,Statale,Non telematica
05403,Perugia Stranieri,Umbria,Statale,Non telematica
05601,Tuscia,Lazio,Statale,Non telematica
05801,Roma La Sapienza,Lazio,Statale,Non telematica
05802,Roma Tor Vergata,Lazio,Statale,Non telematica
05803,Roma LUMSA,Lazio,Non statale,Non telematica
05805,Roma LUISS,Lazio,Non statale,Non telematica
05806,Roma Foro Italico,Lazio,Statale,Non telematica
05807,Roma Tre,Lazio,Statale,Non telematica
05808,Roma Biomedico,Lazio,Non statale,Non telematica
05809,Roma UNINT,Lazio,Non statale,Non telematica
05810,Roma Marconi,Lazio,Non statale,Telematica
05811,Roma UNITELMA,Lazio,Non statale,Telematica
05812,Roma Europea,Lazio,Non statale,Non telematica
05813,Roma UNINETTUNO,Lazio,Non statale,Telematica
05814,Roma  Mercatorum,Lazio,Non statale,Telematica
05815,Roma UNICUSANO,Lazio,Non statale,Telematica
05816,Roma San Raffaele,Lazio,Non statale,Telematica
05817,Roma - Link Campus,Lazio,Non statale,Non telematica
05818,Roma - Saint Camillus,Lazio,Non statale,Non telematica
05819,Roma - CASD - Centro Alti Studi per la Difesa,Lazio,Statale,Non telematica
06001,Cassino,Lazio,Statale,Non telematica
06201,Sannio,Campania,Statale,Non telematica
06202,Benevento - Giustino Fortunato,Non statale,Telematica
06301,Napoli Federico II,Campania,Statale,Non telematica
06302,Napoli Parthenope,Campania,Statale,Non telematica
06303,Napoli L'Orientale,Campania,Statale,Non telematica
06304,Napoli Benincasa,Campania,Non statale,Non telematica
06306,Napoli Vanvitelli,Campania,Statale,Non telematica
06307,Napoli Pegaso,Campania,Non statale,Telematica
06308,Napoli SS Meridionale,Campania,Statale,Non telematica
06501,Salerno,Campania,Statale,Non telematica
06601,L'Aquila,Abruzzo,Statale,Non telematica
06603,L'Aquila - GSSI,Abruzzo,Statale,Non telematica
06701,Teramo,Abruzzo,Statale,Non telematica
06901,Chieti e Pescara,Abruzzo,Statale,Non telematica
06902,Torrevecchia Teatina - Leonardo da Vinci,Abruzzo,Non statale,Telematica
07001,Molise,Molise,Statale,Non telematica
07101,Foggia,Puglia,Statale,Non telematica
07201,Bari,Puglia,Statale,Non telematica
07202,Bari Politecnico,Puglia,Statale,Non telematica
07203,Casamassima - G.Degennaro,Puglia,Non statale,Non telematica
07501,Salento,Puglia,Statale,Non telematica
07601,Basilicata,Basilicata,Statale,Non telematica
07801,Calabria,Calabria,Statale,Non telematica
07901,Catanzaro,Calabria,Statale,Non telematica
08001,Reggio Calabria,Calabria,Statale,Non telematica
08003,Reggio Calabria - Dante Alighieri,Calabria,Non statale,Non telematica
08201,Palermo,Sicilia,Statale,Non telematica
08301,Messina,Sicilia,Statale,Non telematica
08601,Enna - KORE,Sicilia,Non statale,Non telematica
08701,Catania,Sicilia,Statale,Non telematica
09001,Sassari,Sardegna,Statale,Non telematica
09201,Cagliari,Sardegna,Statale,Non telematica
